method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
faiss_pq,8,0,T4_image2image,0.888,1.0,1.0,1000
faiss_pq,8,1,T1_text2image,0.199,0.398,0.487,1000
faiss_pq,8,1,T2_image2text,0.402,0.643,0.741,1000
faiss_pq,8,1,T3_text2text,0.283,0.45,0.519,1000
faiss_pq,8,1,T4_image2image,0.89,0.997,1.0,1000
faiss_pq,8,2,T1_text2image,0.209,0.389,0.481,1000
faiss_pq,8,2,T2_image2text,0.396,0.633,0.738,1000
faiss_pq,8,2,T3_text2text,0.278,0.449,0.527,1000
faiss_pq,8,2,T4_image2image,0.909,0.999,0.999,1000
faiss_pq,8,3,T1_text2image,0.233,0.424,0.506,1000
faiss_pq,8,3,T2_image2text,0.401,0.659,0.751,1000
faiss_pq,8,3,T3_text2text,0.296,0.467,0.536,1000
faiss_pq,8,3,T4_image2image,0.905,0.998,0.999,1000
faiss_pq,8,4,T1_text2image,0.223,0.414,0.516,1000
faiss_pq,8,4,T2_image2text,0.412,0.648,0.733,1000
faiss_pq,8,4,T3_text2text,0.277,0.444,0.516,1000
faiss_pq,8,4,T4_image2image,0.913,0.998,1.0,1000
uncompressed,32,0,T1_text2image,0.203,0.408,0.505,1000
uncompressed,32,0,T2_image2text,0.411,0.65,0.739,1000
uncompressed,32,0,T3_text2text,0.3,0.482,0.545,1000
uncompressed,32,0,T4_image2image,1.0,1.0,1.0,1000
uncompressed,32,1,T1_text2image,0.2,0.396,0.489,1000
uncompressed,32,1,T2_image2text,0.409,0.647,0.74,1000
uncompressed,32,1,T3_text2text,0.284,0.448,0.52,1000
uncompressed,32,1,T4_image2image,1.0,1.0,1.0,1000
uncompressed,32,2,T1_text2image,0.211,0.39,0.479,1000
uncompressed,32,2,T2_image2text,0.4,0.635,0.741,1000
uncompressed,32,2,T3_text2text,0.281,0.449,0.526,1000
uncompressed,32,2,T4_image2image,1.0,1.0,1.0,1000
uncompressed,32,3,T1_text2image,0.234,0.42,0.502,1000
uncompressed,32,3,T2_image2text,0.407,0.666,0.75,1000
uncompressed,32,3,T3_text2text,0.293,0.469,0.537,1000
uncompressed,32,3,T4_image2image,1.0,1.0,1.0,1000
uncompressed,32,4,T1_text2image,0.219,0.412,0.515,1000
uncompressed,32,4,T2_image2text,0.411,0.651,0.737,1000
uncompressed,32,4,T3_text2text,0.28,0.443,0.513,1000
uncompressed,32,4,T4_image2image,1.0,1.0,1.0,1000
